turn,player,money,tap
28,1,1705,3628
29,0,1430,1073
29,1,1705,3628
0,0,1550,1148
0,1,1585,1203
1,0,1600,1148
1,1,1535,1203
2,0,1600,1148
2,1,1535,1203
3,0,1600,1148
3,1,1535,1203
4,0,1600,1148
4,1,1535,1203
5,0,1780,2088
5,1,1205,1203
6,0,1780,2088
6,1,1205,1203
7,0,1780,2088
7,1,1105,1203
8,0,1780,2088
8,1,1105,1203
9,0,1780,2088
9,1,1305,1203
10,0,1780,2088
10,1,1305,1203
11,0,1780,2088
11,1,1305,1203
12,0,1780,2088
12,1,1305,1203
13,0,1915,2928
13,1,945,1103
14,0,1865,2928
14,1,1195,1103
